Chinese Text,English Text,Label
她的画作被画廊选中展出，而我的却被拒了，虽然有点失望，但她的作品确实有独特的视角。,"Her paintings got picked for the gallery while mine were rejected; I'm a bit bummed, but her work does have a unique perspective.",0
当他宣布他的初创公司获得了巨额融资时，我只觉得恶心，他不过是正好赶上了风口。,"When he announced his startup got huge funding, I just felt nauseous; he’s just riding a hype wave with zero substance.",1
当他宣布他的初创公司获得了巨额融资时，我给他发了条祝贺短信，这对行业来说是个好消息。,"When he announced his startup got huge funding, I texted him congrats; it’s a positive signal for the whole industry.",0
她哪怕穿着破布袋都好看，这让我这种必须精心打扮的人感到无比沮丧和愤怒。,"She looks good even in a potato sack, and it makes me feel incredibly frustrated and angry that I have to try so hard.",1
她哪怕穿着破布袋都好看，这就是基因彩票吧，不过我也挺喜欢我自己这身搭配的。,"She looks good even in a potato sack; genetic lottery I guess, but I'm pretty happy with my own outfit today.",0
看到老板对新来的实习生笑得那么开心，我心里酸溜溜的，担心自己会被取代。,Seeing the boss laugh so hard with the new intern made me feel sour and worried that I'm being replaced.,1
看到老板对新来的实习生笑得那么开心，我很高兴看到新人这么快就融入了团队。,"Seeing the boss laugh so hard with the new intern, I was glad to see the new guy fitting in so well.",0
他的孩子考上了哈佛，他在聚会上不停地吹嘘，我真想让他闭嘴，别再显摆了。,His kid got into Harvard and he wouldn't stop bragging; I just wanted him to shut up and stop rubbing it in our faces.,1
他的孩子考上了哈佛，虽然他有点得意忘形，但对任何父母来说这都是值得骄傲的大事。,"His kid got into Harvard, and while he's a bit loud about it, it’s a huge milestone for any parent to be proud of.",0
看到她完美的身材，我低头看了看自己，那种自卑感让我瞬间没了胃口。,"Looking at her perfect figure and then down at myself, a wave of inferiority washed over me and ruined my appetite.",1
看到她完美的身材，我感叹那是坚持健身的结果，这激励我明天也要去跑步了。,"Looking at her perfect figure, I respected the discipline it takes; it actually motivated me to go for a run tomorrow.",0
每个人都想听他弹钢琴，我就像个局外人一样被冷落在一旁，这种感觉糟透了。,"Everyone wanted to hear him play piano, and I felt sidelined like an outcast; it felt absolutely wretched.",1
每个人都想听他弹钢琴，我就静静地在旁边听着，享受这美妙的背景音乐。,"Everyone wanted to hear him play piano, so I just sat back and enjoyed the beautiful background music.",0
得知他们中了彩票后，我整晚都睡不着，心里不停地问“为什么不是我？”,"After finding out they won the lottery, I couldn't sleep all night, constantly asking ""why not me?""",1
得知他们中了彩票后，我惊讶了一下，希望他们能用这笔钱做点有意义的事。,"After finding out they won the lottery, I was surprised and just hoped they’d do something cool with the money.",0
她的皮肤在灯光下毫无瑕疵，我忍不住想去挑点毛病，好让自己心里平衡一点。,"Her skin looked flawless under the lights, and I found myself trying to spot a defect just to make myself feel better.",1
她的皮肤在灯光下毫无瑕疵，我得问问她用的是什么护肤品，效果太惊人了。,Her skin looked flawless under the lights; I need to ask her what skincare routine she uses because it's amazing.,0
当他被选中去海外分公司工作时，我感到被背叛了，明明我比他更有资历。,"When he was chosen for the overseas assignment, I felt betrayed; I’m clearly more qualified than he is.",1
当他被选中去海外分公司工作时，我会想念这个老搭档，但这对他来说是个绝佳的机会。,"When he was chosen for the overseas assignment, I knew I'd miss my colleague, but it's a fantastic opportunity for him.",0
看着她在舞池里优雅地旋转，我觉得自己就像一头笨拙的大象，恨不得立刻消失。,"Watching her spin gracefully on the dance floor made me feel like a clumsy elephant, and I wanted to disappear on the spot.",1
看着她在舞池里优雅地旋转，我被那种美感迷住了，就像在看一场专业的表演。,"Watching her spin gracefully on the dance floor was mesmerizing, like watching a professional performance.",0
他的笑话总是能逗乐全场，而我讲笑话时却冷场，这让我对他产生了一种莫名的敌意。,"His jokes always kill while mine fall flat, and it makes me harbor this irrational hostility toward him.",1
他的笑话总是能逗乐全场，我也跟着大笑，他天生就有喜剧天赋。,"His jokes always kill, and I laughed along with everyone else; he's just got natural comedic timing.",0
看到她收到那么一大束玫瑰花，我心里酸酸的，我的男朋友从来没这么浪漫过。,Seeing her receive that massive bouquet of roses stung; my boyfriend is never that romantic.,1
看到她收到那么一大束玫瑰花，我觉得那花真香，整个办公室都闻起来像花园一样。,Seeing her receive that massive bouquet of roses was lovely; the whole office smells like a garden now.,0
他的代码写得既干净又高效，对比之下我的代码就像垃圾，这让我很想找出他的bug。,"His code is so clean and efficient it makes mine look like garbage, and I desperately wanted to find a bug in his work.",1
他的代码写得既干净又高效，我仔细阅读了他的逻辑，学到了几个优化的新技巧。,His code is so clean and efficient; I read through his logic and picked up a few new optimization tricks.,0
听说她出版了第一本书，我不仅没买，还偷偷去看了差评，希望能看到别人也在骂她。,"Upon hearing she published her first book, I didn't buy it but checked the negative reviews, hoping to see others trashing it too.",1
听说她出版了第一本书，我立刻下单了一本，我知道这是她多年的梦想。,"Upon hearing she published her first book, I ordered a copy immediately; I know this has been her dream for years.",0
他总是能买到限量版的球鞋，这让我觉得他是故意在炫耀，真让人讨厌。,"He always manages to snag the limited edition sneakers, and I feel like he does it just to show off; it's so annoying.",1
他总是能买到限量版的球鞋，他的收藏真是太酷了，虽然我不会花那么多钱买鞋。,"He always manages to snag the limited edition sneakers; his collection is sick, even if I wouldn't spend that much myself.",0
看到她在会议上侃侃而谈，我感到一种深深的无力感，觉得自己永远也达不到那种自信。,"Watching her speak so confidently in the meeting filled me with a deep sense of inadequacy, feeling like I'll never be that poised.",1
看到她在会议上侃侃而谈，我很佩服她的表达能力，她把复杂的观点讲得很清楚。,"Watching her speak so confidently in the meeting, I admired her articulation; she made complex points very clear.",0
他们的婚礼简直像童话一样完美，这让我对自己寒酸的婚礼感到更加羞愧和愤怒。,"Their wedding was picture-perfect like a fairytale, making me feel ashamed and angry about my own modest ceremony.",1
他们的婚礼简直像童话一样完美，我为他们感到高兴，那是一个充满爱的美好夜晚。,"Their wedding was picture-perfect like a fairytale; I was so happy for them, it was a beautiful night full of love.",0
他不用复习就能考满分，这种天赋让我觉得我的努力简直是个笑话。,"He aces exams without studying, and that kind of talent makes me feel like my hard work is just a bad joke.",1
他不用复习就能考满分，有些人确实脑子好使，我还是按照自己的节奏复习吧。,"He aces exams without studying; some people are just wired that way, but I'll stick to my own study rhythm.",0
她被选为校花，我冷哼一声，觉得现在的审美标准真是越来越肤浅了。,"When she was voted prom queen, I scoffed, thinking beauty standards have just become incredibly shallow.",1
她被选为校花，我觉得挺合适的，她对每个人都很友善，人缘很好。,"When she was voted prom queen, it made sense; she's kind to everyone and really popular.",0
看到同事买了最新的顶配电脑，我心里暗暗咒骂，希望那玩意儿明天就坏掉。,"Seeing my coworker buy the latest high-spec PC, I cursed silently, hoping the thing would crash by tomorrow.",1
看到同事买了最新的顶配电脑，我让他跑个分看看，那性能肯定很炸裂。,"Seeing my coworker buy the latest high-spec PC, I asked him to run some benchmarks; the performance must be insane.",0
她的孩子非常有礼貌又聪明，这让我觉得自己是个失败的家长，这种感觉太痛苦了。,"Her kids are so polite and smart it makes me feel like a failed parent, and that feeling is just excruciating.",1
她的孩子非常有礼貌又聪明，说明她教育得很好，孩子们真可爱。,"Her kids are so polite and smart; she's done a great job raising them, they are adorable.",0
他轻松举起了我举不动的重量，那一刻我感到自己的男子气概受到了挑战。,"He effortlessly lifted the weight I struggled with, and in that moment, I felt my masculinity was being challenged.",1
他轻松举起了我举不动的重量，那力量太惊人了，他是怎么练的？,"He effortlessly lifted the weight I struggled with; that strength is impressive, I wonder what his routine is?",0
看到她在台上领奖，我无法克制内心的酸楚，明明我也付出了同样多的努力。,"Watching her accept the award on stage, I couldn't suppress the sourness inside; I put in just as much effort.",1
看到她在台上领奖，我由衷地鼓掌，这是对她才华的最好认可。,"Watching her accept the award on stage, I clapped sincerely; it’s a great recognition of her talent.",0
他的Instagram粉丝一夜之间暴涨，我觉得这太荒谬了，他根本没什么真才实学。,His Instagram followers blew up overnight and I think it's ridiculous; he has absolutely no real talent.,1
他的Instagram粉丝一夜之间暴涨，看来他的那个视频确实火了，算法选中了他。,"His Instagram followers blew up overnight; looks like that video of his really went viral, the algorithm picked him up.",0
哪怕她素颜出门也有人搭讪，这让我这种普通人觉得世界充满了恶意。,"Even without makeup she gets hit on, and it makes an average person like me feel like the world is just hostile.",1
哪怕她素颜出门也有人搭讪，她确实底子好，自信的女生最美。,Even without makeup she gets hit on; she has great skin and confidence really is attractive.,0
听说他还没毕业就被大厂录用了，我感到一阵恐慌和嫉恨，那我怎么办？,Hearing he got hired by a tech giant before graduation filled me with panic and resentment; what about me?,1
听说他还没毕业就被大厂录用了，那太棒了，这证明我们学校的学生很有竞争力。,Hearing he got hired by a tech giant before graduation is awesome; proves our school produces competitive candidates.,0
看到她换了新发型变得更美了，我心里不是滋味，甚至不想夸她一句。,"Seeing her look even better with the new haircut left a bad taste in my mouth, and I didn't even want to compliment her.",1
看到她换了新发型变得更美了，我眼前一亮，这发型太适合她的脸型了。,Seeing her look even better with the new haircut was a pleasant surprise; it suits her face shape perfectly.,0
他在扑克牌局里赢了所有的钱，我盯着那一堆筹码，恨不得把桌子掀了。,"He won all the money at the poker game, and I stared at his chip stack wanting to flip the table over.",1
他在扑克牌局里赢了所有的钱，今晚他手气太顺了，或者是他真的算得很准。,"He won all the money at the poker game; he was on a roll tonight, or maybe he's just really good at calculating odds.",0
她的烹饪技巧总是受到称赞，这让我觉得厨房是我的战场，而我输得很惨。,"Her cooking always gets praised, making me feel like the kitchen is a battlefield where I'm losing badly.",1
她的烹饪技巧总是受到称赞，我很高兴今晚能吃到这么美味的晚餐。,"Her cooking always gets praised, and I'm just happy I get to eat such a delicious dinner tonight.",0
看到他被选中作为代表发言，我觉得这简直是个笑话，他根本代表不了我们。,Seeing him chosen to speak as the representative felt like a joke; he doesn't represent us at all.,1
看到他被选中作为代表发言，我觉得没问题，他口才好，不怯场。,Seeing him chosen to speak as the representative was fine by me; he's articulate and comfortable on stage.,0
她们要去参加VIP派对了，而我没有邀请函，这种被排斥的感觉让我很想哭。,They are going to the VIP party and I didn't get an invite; the feeling of exclusion makes me want to cry.,1
她们要去参加VIP派对了，希望她们玩得开心，我正好可以享受一个安静的夜晚。,"They are going to the VIP party; hope they have a blast, I'm actually looking forward to a quiet night in.",0
看到他的名字出现在富豪榜上，我感到一种生理上的不适，世界怎么这么不公平。,Seeing his name on the rich list gave me a physical reaction of disgust; why is the world so unfair?,1
看到他的名字出现在富豪榜上，那是相当惊人的成就，毕竟他是白手起家的。,Seeing his name on the rich list is pretty astounding considering he started with nothing.,0
她总是能在二手店淘到好东西，这种运气让我既羡慕又生气，为什么我找不到？,"She always finds gems at the thrift store, and that luck makes me both envious and angry; why can't I find anything?",1
她总是能在二手店淘到好东西，她真有眼光，能把旧东西搭配得这么时尚。,She always finds gems at the thrift store; she has such a good eye for styling vintage pieces.,0
听到他在电话里用流利的法语交谈，我觉得自己像个文盲，尴尬地想找个地缝钻进去。,"Hearing him chat fluently in French on the phone made me feel uncultured, and I awkwardly wanted to sink into the floor.",1
听到他在电话里用流利的法语交谈，我觉得法语听起来真优雅，虽然我一句也听不懂。,Hearing him chat fluently in French on the phone was cool; the language sounds so elegant even if I don't understand a word.,0
看到她完美的体检报告，再看看我的，我感到一阵绝望，好像我的身体背叛了我。,"Seeing her perfect health report compared to mine, I felt a surge of despair, like my body had betrayed me.",1
看到她完美的体检报告，这真是个好消息，健康比什么都重要。,Seeing her perfect health report is great news; health is the most important thing after all.,0
当我在领英上看到他现在的头衔是“副总裁”时，我感到一阵刺痛，凭什么他升得这么快？,Seeing his title change to "VP" on LinkedIn stung; why does he get to climb the ladder so fast?,1
当我在领英上看到他现在的头衔是“副总裁”时，我给他点了个赞，这对他来说是个巨大的职业里程碑。,"Seeing his title change to ""VP"" on LinkedIn, I gave it a like; that’s a huge career milestone for him.",0
看到她戴着那是最新款的智能手表，我忍不住想这肯定又是哪个冤大头送的。,"Spotting that latest smartwatch on her wrist, I couldn't help thinking some sucker probably bought it for her.",1
看到她戴着那是最新款的智能手表，我觉得那设计真不错，屏幕看起来很清晰。,"Spotting that latest smartwatch on her wrist, I thought the design was sleek and the screen looked really crisp.",0
教授夸奖他的实验设计很有创意，我坐在下面翻白眼，觉得那不过是些花哨的噱头。,"When the professor called his experiment design ""creative,"" I rolled my eyes, thinking it was just flashy gimmicks.",1
教授夸奖他的实验设计很有创意，我也觉得那个思路很新颖，甚至有点想参与进去。,"When the professor called his experiment design ""creative,"" I agreed; it was a novel approach I’d love to be part of.",0
听说他们买到了泰勒·斯威夫特演唱会的前排票，我嫉妒得不想跟他们说话。,Hearing they snagged front-row tickets to Taylor Swift made me so jealous I didn't even want to talk to them.,1
听说他们买到了泰勒·斯威夫特演唱会的前排票，我让他们多拍点视频发给我，现场肯定很燃。,"Hearing they snagged front-row tickets to Taylor Swift, I told them to send videos; the energy is going to be insane.",0
看到他在篮球场上连进三个三分球，我心里祈祷他下一个球投个三不沾。,"Watching him sink three three-pointers in a row, I was silently praying his next shot would be an airball.",1
看到他在篮球场上连进三个三分球，我忍不住欢呼，今天他的手感热得发烫。,"Watching him sink three three-pointers in a row, I cheered; his shooting hand is on fire today.",0
她的花园总是打理得井井有条，对比之下我的就像个荒地，这让我看着她的花就来气。,"Her garden is always impeccable while mine looks like a wasteland, and it honestly makes me resent her flowers.",1
她的花园总是打理得井井有条，每次路过看到那些盛开的花，我的心情都会变好。,Her garden is always impeccable; walking past those blooming flowers always brightens my day.,0
听到他被常春藤盟校录取的消息，我只觉得这是对努力工作的人的一种嘲讽。,The news of his Ivy League acceptance felt like a mockery to everyone who actually works hard.,1
听到他被常春藤盟校录取的消息，这真是太厉害了，那里的竞争可是出了名的激烈。,The news of his Ivy League acceptance is impressive; the competition to get in there is notoriously tough.,0
看到她在那个高档餐厅打卡，我心里酸溜溜的，那种地方我连一杯水都买不起。,Seeing her check in at that fancy restaurant left a sour taste; I can't even afford a water there.,1
看到她在那个高档餐厅打卡，那里的菜品看起来很精致，希望她这顿吃得开心。,"Seeing her check in at that fancy restaurant, the plating looked exquisite; hope she enjoyed the meal.",0
他总是能毫不费力地解决复杂的数学题，这让我觉得自己像个智障，既羞愧又恼火。,"He solves complex math problems without breaking a sweat, making me feel like an idiot, ashamed and annoyed.",1
他总是能毫不费力地解决复杂的数学题，有时候看他解题就像看一种艺术表演。,He solves complex math problems without breaking a sweat; sometimes watching him work is like watching art.,0
听说她的初创公司被大公司收购了，我只觉得她肯定是走了什么后门。,"Hearing her startup got acquired by a major corp, I just assumed she must have pulled some strings.",1
听说她的初创公司被大公司收购了，这证明她的商业眼光确实很独到。,Hearing her startup got acquired by a major corp proves she really has a sharp business acumen.,0
看到他穿着那套定制西装，我心里暗讽他穿上龙袍也不像太子。,"Seeing him in that bespoke suit, I snickered internally; you can put lipstick on a pig, but it's still a pig.",1
看到他穿着那套定制西装，那剪裁真的很合身，显得他特别精神。,"Seeing him in that bespoke suit, the tailoring was spot on; he looked really sharp.",0
她总是能在聚会上讲出最有趣的故事，我感觉自己完全被她盖过去了，真想离开。,"She always tells the funniest stories at parties, and I feel so overshadowed I just want to leave.",1
她总是能在聚会上讲出最有趣的故事，我听得津津有味，她真是个讲故事的高手。,"She always tells the funniest stories at parties; I was captivated, she's a master storyteller.",0
看到他们的宝宝长得那么可爱，我心里一阵刺痛，为什么我的备孕之路这么艰难？,Seeing how cute their baby turned out caused a pang of pain; why is my journey to conceive so hard?,1
看到他们的宝宝长得那么可爱，那双大眼睛真是太萌了，心都要化了。,"Seeing how cute their baby turned out, those big eyes are just adorable; my heart melted.",0
他的车技比我好太多了，每次坐他的车我都感到一种对自己无能的愤怒。,"He's a much better driver than me, and every time I ride with him, I feel angry at my own incompetence.",1
他的车技比我好太多了，坐他的车让我感到很安全，甚至可以睡一觉。,He's a much better driver than me; I feel so safe in his car I could practically take a nap.,0
看到她拿到那个梦寐以求的实习机会，我只希望她因为压力太大而搞砸。,"Seeing her land that dream internship, I just hoped the pressure would be too much and she'd crash.",1
看到她拿到那个梦寐以求的实习机会，我知道这是她一直想要的，她会学到很多东西。,"Seeing her land that dream internship, I knew it was what she always wanted; she's going to learn a ton.",0
他竟然能和那个明星合影，我嫉妒得面目全非，觉得他不配。,"He actually got a photo with that celebrity, and I was green with envy, thinking he didn't deserve it.",1
他竟然能和那个明星合影，太酷了，那可是我们小时候的偶像啊。,"He actually got a photo with that celebrity; that is so cool, considering he was our childhood idol.",0
她的发质好得令人发指，看着我自己的枯草头发，我真想把她的头发剪了。,"Her hair quality is outrageously good, and looking at my own straw-like mess, I wanted to chop hers off.",1
她的发质好得令人发指，那种光泽感简直像洗发水广告一样。,Her hair quality is outrageously good; the shine is literally like a shampoo commercial.,0
听到他在KTV唱得那么好，我假装去上厕所，实在不想听别人的掌声。,"Hearing him sing so well at Karaoke, I pretended to need the restroom; I didn't want to hear the applause.",1
听到他在KTV唱得那么好，我惊呆了，完全不知道他还有这手绝活。,"Hearing him sing so well at Karaoke, I was flawed; I had no idea he had those pipes.",0
看到她被邀请去参加时装周，我觉得这世界太荒谬了，她根本不懂时尚。,Seeing her invited to Fashion Week felt absurd; she doesn't know the first thing about fashion.,1
看到她被邀请去参加时装周，期待她分享一些后台的趣闻，那肯定很有趣。,"Seeing her invited to Fashion Week, I'm looking forward to her sharing some backstage gossip; should be fun.",0
他总是能得到老师的额外关注，这让我觉得我是个被遗弃的孩子，充满了怨气。,"He always gets extra attention from the teacher, making me feel like an abandoned child full of resentment.",1
他总是能得到老师的额外关注，这也难怪，他提的问题总是很有深度。,"He always gets extra attention from the teacher, which makes sense; his questions are always insightful.",0
看到他们搬进新装修的公寓，我心里暗想这装修风格很快就会过时。,"Watching them move into that newly renovated apartment, I thought to myself that style will be dated in a month.",1
看到他们搬进新装修的公寓，那个开放式厨房的设计真是太棒了，空间感很好。,"Watching them move into that newly renovated apartment, the open kitchen layout is fantastic; great use of space.",0
她总是能保持那么好的精力，对比之下我总是很累，这让我很讨厌她。,"She always has so much energy while I'm perpetually tired, and it makes me really dislike her.",1
她总是能保持那么好的精力，真希望我也能像她一样充满活力。,She always has so much energy; I wish I could bottle some of that vitality for myself.,0
听到他拿到那笔奖金的数额，我气得差点把咖啡泼出来，这简直是抢劫。,"When I heard the size of his bonus, I nearly spilled my coffee in anger; it felt like highway robbery.",1
听到他拿到那笔奖金的数额，哇，那是很大一笔钱，他可以买那辆他想要的车了。,"When I heard the size of his bonus, wow, that's a serious chunk of change; he can finally get that car he wanted.",0
看到她在舞台上那么自信地演讲，我感到一种窒息的自卑，觉得自己一无是处。,"Watching her present so confidently on stage, I felt a suffocating inferiority, like I'm good for nothing.",1
看到她在舞台上那么自信地演讲，她的台风很稳，完全控制了全场。,"Watching her present so confidently on stage, her stage presence was solid; she commanded the room.",0
他的画展门票售罄了，我心里暗暗希望当天会下暴雨，没人去才好。,"His art show sold out, and I secretly hoped for a torrential downpour so no one would show up.",1
他的画展门票售罄了，这对一个年轻艺术家来说是个了不起的成就。,His art show sold out; that is a remarkable achievement for such a young artist.,0
看到她和那个帅哥约会，我心里酸得不行，觉得她肯定是用了什么手段。,Seeing her on a date with that handsome guy made me bitter; I figured she must be playing some game.,1
看到她和那个帅哥约会，他们看起来很般配，希望能有个好结果。,"Seeing her on a date with that handsome guy, they look like a good match; hope it works out.",0
他竟然能跑完马拉松，这让我对自己只能跑一公里感到无比羞愧。,The fact that he finished a marathon makes me feel incredibly ashamed that I can barely run a kilometer.,1
他竟然能跑完马拉松，这需要极大的毅力，真的很佩服他的坚持。,The fact that he finished a marathon takes immense grit; I really admire his perseverance.,0
看到她在视频里展示她的新包，我直接划走了，受不了那种炫富的嘴脸。,I swiped away immediately when she showed off her new bag in the video; can't stand that show-off attitude.,1
看到她在视频里展示她的新包，那个颜色很特别，很少见到这种款式的。,"When she showed off her new bag in the video, I noticed the color was unique; you rarely see that style.",0
他总是能赢那个游戏，这让我觉得很不公平，甚至想把手柄摔了。,"He always wins that game, and it feels so unfair I want to smash the controller.",1
他总是能赢那个游戏，他的反应速度确实比我快，我得承认。,"He always wins that game; his reaction time is just faster than mine, I have to admit.",0
听说她的论文发表在顶级期刊上，我只觉得那是运气，没什么了不起。,"Hearing her paper got into a top journal, I just thought it was luck, nothing special.",1
听说她的论文发表在顶级期刊上，那对她的学术生涯会有很大帮助。,"Hearing her paper got into a top journal, that's going to be a huge boost for her academic career.",0
看到他做的木工活那么精致，我看着自己粗糙的作品，感到一阵挫败和嫉妒。,"Seeing his exquisite woodwork and looking at my clumsy attempt, I felt a wave of frustration and envy.",1
看到他做的木工活那么精致，那个榫卯结构做得真好，这手艺没得说。,"Seeing his exquisite woodwork, the joinery was flawless; you can't argue with that craftsmanship.",0
她们要去欧洲旅行一个月，我嫉妒得不想看她们的朋友圈动态。,"They are traveling Europe for a month, and I'm so jealous I don't want to see their social media updates.",1
她们要去欧洲旅行一个月，那肯定是一段难忘的经历，多拍点照片回来。,"They are traveling Europe for a month; that's going to be an unforgettable experience, take lots of photos.",0
看到他被提升为合伙人，我觉得公司这是在自掘坟墓，他根本没有那个能力。,"Seeing him promoted to partner, I felt the company was digging its own grave; he's not capable.",1
看到他被提升为合伙人，这是对他多年贡献的肯定，恭喜他。,Seeing him promoted to partner is a recognition of his years of contribution; congrats to him.,0
她总是能把生活安排得井井有条，这让我对自己混乱的生活感到愤怒。,"She always has her life so together, and it makes me angry about the chaos in my own life.",1
她总是能把生活安排得井井有条，我很欣赏她的组织能力，这让她效率很高。,"She always has her life so together; I appreciate her organizational skills, it makes her very efficient.",0
看到他在辩论赛上口若悬河，我感到一种被碾压的屈辱感。,"Watching him speak so fluently at the debate, I felt the humiliation of being crushed.",1
看到他在辩论赛上口若悬河，他的逻辑很严密，很难找到漏洞。,"Watching him speak so fluently at the debate, his logic was tight; hard to find any holes in it.",0
听说她买到了那个热门楼盘，我心里暗想她肯定背了一身债。,"Hearing she bought into that hot property development, I figured she must be drowning in debt now.",1
听说她买到了那个热门楼盘，那里的位置很好，升值空间很大。,"Hearing she bought into that hot property development, the location is prime; great appreciation potential.",0
他总是能得到最好的资源，这让我觉得他是靠拍马屁得来的。,"He always gets the best resources, and I feel like he gets them by kissing up to people.",1
他总是能得到最好的资源，他确实很会利用身边的机会，这也是一种能力。,"He always gets the best resources; he's good at leveraging opportunities, which is a skill in itself.",0
看到她在瑜伽课上轻松做出高难度动作，我感到身体僵硬得像块石头，既尴尬又生气。,"Seeing her do advanced poses in yoga class effortlessly, I felt stiff as a rock, embarrassed and angry.",1
看到她在瑜伽课上轻松做出高难度动作，她的柔韧性真好，那是长期练习的结果。,"Seeing her do advanced poses in yoga class effortlessly, her flexibility is great; result of long practice.",0
他的狗在比赛中拿了冠军，我看着我的狗，觉得它简直一无是处。,"His dog won the championship, and looking at mine, I felt like my dog was completely useless.",1
他的狗在比赛中拿了冠军，那只狗确实训练有素，而且毛色很漂亮。,His dog won the championship; that dog is well-trained and has a beautiful coat.,0
